"коллаген";1000000;1;8;1072862;37125;1
"метформин";1000000;1;9;312943;43934;1
"мелатонин";1000000;1;9;352157;54313;1
"мазь метилурацил";131000;2;16;152425;43502;1
"димексид";1000000;1;8;472821;52291;1
"креон";1000000;1;5;305306;37881;1
"левомеколь";1000000;1;10;463689;69089;1
"преднизолон";1000000;1;11;361855;52303;1
"амлодипин";1000000;1;9;391086;59297;1
"семена чиа";182000;2;10;439089;51682;1
"аптека";2000000;1;6;13042908;120720;1
"глицин";1000000;1;6;641498;68898;1
"диаскинтест";1000000;1;11;302791;42241;1
"осельтамивир";1000000;1;12;192235;55281;1
"фенибут";1000000;1;7;731210;140125;1
"ребагит";1000000;1;7;198899;35559;1
"глиатилин";1000000;1;9;156773;28514;1
"линекс";1000000;1;6;232769;30682;1
"мазь стелланин";141000;2;14;157015;32577;1
"виагра";1000000;1;6;453569;30525;1
"конкор";1000000;1;6;264102;31803;1
"галоперидол";1000000;1;11;99307;28580;1
"вигантол";1000000;1;8;126340;34691;1
"немозол";1000000;1;7;180481;32004;1
"аппликатор кузнецова";165000;2;20;121946;33632;1
"магний";1000000;1;6;3108750;31535;1
"сорбифер дурулес";118000;2;16;118296;35088;1
"таблетки мелоксикам";147000;2;19;165353;34578;1
"хлорофилл";1000000;1;9;238490;29685;1
"фенотропил";1000000;1;10;105595;33618;1
"мелоксикам таблетки";152000;2;19;167285;35251;1
"сорбифер";1000000;1;8;209713;28488;1
"шалфей";30000;1;6;260153;24173;1
"опатанол";1000000;1;8;88518;24733;1
"триптофан";1000000;1;9;134563;25241;1
"тотема";1000000;1;6;296806;24712;1
"ацц";1000000;1;3;261666;25231;1
"дезлоратадин";1000000;1;12;83624;24367;1
"сельдерей";32000;1;9;326462;27833;1
"винпоцетин";1000000;1;10;135878;25238;1
"аптека ру заказать лекарство с доставкой в аптеку";2000000;8;49;69841;27267;1
"кордицепс";1000000;1;9;95905;25074;1
"фукорцин";1000000;1;8;121706;28099;1
"ромашка";146000;1;7;1398443;27378;1
"аскорил";1000000;1;7;139141;24683;1
"целекоксиб";1000000;1;10;126218;27067;1
"аэртал";1000000;1;6;201013;28151;1
"уколы мелоксикам";109000;2;16;117899;24083;1
"биотин";1000000;1;6;146882;20584;1
"рибоксин";1000000;1;8;127022;22279;1
"янтарная кислота для чего";34000;4;25;79970;23169;1
"расторопша";1000000;1;10;264768;22109;1
"троксерутин";1000000;1;11;164662;22663;1
"дексаметазон уколы инструкция по применению цена";834000;6;48;24035;21028;1
"бруснивер";1000000;1;9;86352;23793;1
"декспантенол";1000000;1;12;128253;23045;1
"найз";1000000;1;4;287064;23498;1
"эффезел";1000000;1;7;90373;22626;1
"пирантел";1000000;1;8;158340;23823;1
"для чего янтарная кислота";33000;4;25;84387;23785;1
"нитроглицерин";1000000;1;13;156762;21682;1
"аптека ру заказать";1000000;3;18;241234;23465;1
"тербинафин";1000000;1;10;167815;23936;1
"феррум лек";129000;2;10;103928;20487;1
"дулоксетин";1000000;1;10;70246;18009;1
"валацикловир";1000000;1;12;81966;18513;1
"дарсонваль";1000000;1;10;169121;19258;1
"полынь";41000;1;6;326499;18443;1
"макмирор";1000000;1;8;113818;18616;1
"валидол";1000000;1;7;135500;18200;1
